Carbon concentration / (weight%);Silicon concentration / (weight%);Manganese concentration / (weight%);Sulphur concentration / (weight%);Phosphorus concentration / (weight%);Nickel concentration / (weight%);Chromium concentration / (weight%);Molybdenum concentration / (weight%);Vanadium concentration / (weight%);Copper concentration / (weight%);Cobalt concentration / (weight%);Tungsten concentration / (weight%);Oxygen concentration / parts per million by weight;Titanium concentration / parts per million by weight;Nitrogen concentration / parts per million by weight;Aluminium concentration / parts per million by weight;Boron concentration / parts per million by weight;Niobium concentration / parts per million by weight;Tin concentration / parts per million by weight;Arsenic concentration / parts per million by weight;Antimony concentration / parts per million by weight;Current / A;Voltage / V;AC or DC;Electrode positive or negative;Heat input / kJ/mm;Interpass temperature / deg C;Type of weld ;Post weld heat treatment temperature / deg C;Post weld heat treatment time / hours;Yield strength / MPa;Ultimate tensile strength / MPa;Elongation / %;Reduction of Area / %;Charpy temperature / deg C;Charpy impact toughness / J;Hardness / kg/mm2;50 % FATT;Primary ferrite in microstructure / %;Ferrite with second phase / %;Acicular ferrite / %;Martensite / %;Ferrite with carbide aggreagate / %;Weld ID
0.076;0.29;1.74;0.008;0.006;None;None;None;0.0004;None;None;None;415;35;92;5;5;6;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-62;100;None;None;None;None;None;None;None;Evans-V/Mn-1991-D4awch
0.076;0.29;1.74;0.008;0.006;None;None;None;0.0004;None;None;None;415;35;92;5;5;6;None;None;None;170;21;DC;+;1;200;MMA;580;2;414;518;29.2;78.4;-71;100;None;None;None;None;None;None;None;Evans-V/Mn-1991-D4ht
0.077;0.26;1.73;0.007;0.008;None;None;None;0.0235;None;None;None;423;27;72;5;5;5;None;None;None;170;21;DC;+;1;200;MMA;250;14;543;607;23.2;77;None;None;None;None;None;None;None;None;None;Evans-V/Mn-1991-D235aw
0.077;0.26;1.73;0.007;0.008;None;None;None;0.0235;None;None;None;423;27;72;5;5;5;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-62;100;None;None;None;None;None;None;None;Evans-V/Mn-1991-D235awch
0.077;0.26;1.73;0.007;0.008;None;None;None;0.0235;None;None;None;423;27;72;5;5;5;None;None;None;170;21;DC;+;1;200;MMA;580;2;523;602;25.6;75;-59;100;None;None;None;None;None;None;None;Evans-V/Mn-1991-D235ht
0.077;0.26;1.72;0.007;0.008;None;None;None;0.041;None;None;None;423;25;74;5;5;5;None;None;None;170;21;DC;+;1;200;MMA;250;14;578;617;21.8;75;None;None;None;None;None;None;None;None;None;Evans-V/Mn-1991-D410aw
0.077;0.26;1.72;0.007;0.008;None;None;None;0.041;None;None;None;423;25;74;5;5;5;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-67;100;None;None;None;None;None;None;None;Evans-V/Mn-1991-D410awch
0.077;0.26;1.72;0.007;0.008;None;None;None;0.041;None;None;None;423;25;74;5;5;5;None;None;None;170;21;DC;+;1;200;MMA;580;2;538;626;21.8;74;-55;100;None;None;None;None;None;None;None;Evans-V/Mn-1991-D410ht
0.076;0.25;1.72;0.005;0.008;None;None;None;0.0605;None;None;None;405;25;86;5;5;5;None;None;None;170;21;DC;+;1;200;MMA;250;14;589;650;21.6;75;None;None;None;None;None;None;None;None;None;Evans-V/Mn-1991-D605aw
0.076;0.25;1.72;0.005;0.008;None;None;None;0.0605;None;None;None;405;25;86;5;5;5;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-64;100;None;None;None;None;None;None;None;Evans-V/Mn-1991-D605awch
0.076;0.25;1.72;0.005;0.008;None;None;None;0.0605;None;None;None;405;25;86;5;5;5;None;None;None;170;21;DC;+;1;200;MMA;580;2;521;597;24.4;74;-44;100;None;None;None;None;None;None;None;Evans-V/Mn-1991-D605ht
0.08;0.26;1.74;0.007;0.008;None;None;None;0.083;None;None;None;411;25;90;5;5;5;None;None;None;170;21;DC;+;1;200;MMA;250;14;639;681;19.6;71.9;None;None;None;None;None;None;None;None;None;Evans-V/Mn-1991-D830aw
0.08;0.26;1.74;0.007;0.008;None;None;None;0.083;None;None;None;411;25;90;5;5;5;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-61;100;None;None;None;None;None;None;None;Evans-V/Mn-1991-D830awch
0.08;0.26;1.74;0.007;0.008;None;None;None;0.083;None;None;None;411;25;90;5;5;5;None;None;None;170;21;DC;+;1;200;MMA;580;2;570;647;24;74;None;None;None;None;None;None;None;None;None;Evans-V/Mn-1991-D830ht
0.073;0.35;0.64;0.005;0.004;None;None;None;0.0003;None;None;None;428;38;77;5;5;5;None;None;None;170;21;DC;+;1;200;MMA;250;14;402;494;33.3;77.5;None;None;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-A<5aw
0.073;0.35;0.64;0.005;0.004;None;None;None;0.0003;None;None;None;428;38;77;5;5;5;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-45;100;None;None;47;27;26;0;0;Evans-Nb/Mn-1991-A<5awch
0.073;0.35;0.64;0.005;0.004;None;None;None;0.0003;None;None;None;428;38;77;5;5;5;None;None;None;170;21;DC;+;1;200;MMA;580;2;329;447;36.4;80.5;-55;100;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-A<5ht
0.073;0.34;0.64;0.007;0.005;None;None;None;0.0003;None;None;None;431;41;80;5;5;120;None;None;None;170;21;DC;+;1;200;MMA;250;14;450;532;28;76;None;None;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-A120aw
0.073;0.34;0.64;0.007;0.005;None;None;None;0.0003;None;None;None;431;41;80;5;5;120;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-33;100;None;None;27;60;13;0;0;Evans-Nb/Mn-1991-A120awch
0.073;0.34;0.64;0.007;0.005;None;None;None;0.0003;None;None;None;431;41;80;5;5;120;None;None;None;170;21;DC;+;1;200;MMA;580;2;415;497;24.6;78.7;-38;100;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-A120ht
0.075;0.33;0.62;0.007;0.005;None;None;None;0.0003;None;None;None;429;42;85;5;5;220;None;None;None;170;21;DC;+;1;200;MMA;250;14;474;553;26.8;80.7;None;None;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-A220aw
0.075;0.33;0.62;0.007;0.005;None;None;None;0.0003;None;None;None;429;42;85;5;5;220;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-22;100;None;None;26;61;13;0;0;Evans-Nb/Mn-1991-A220awch
0.075;0.33;0.62;0.007;0.005;None;None;None;0.0003;None;None;None;429;42;85;5;5;220;None;None;None;170;21;DC;+;1;200;MMA;580;2;451;539;24.4;78;-27;100;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-A220ht
0.07;0.33;0.64;0.007;0.004;None;None;None;0.0007;None;None;None;413;42;85;5;5;450;None;None;None;170;21;DC;+;1;200;MMA;250;14;522;580;25;76;None;None;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-A450aw
0.07;0.33;0.64;0.007;0.004;None;None;None;0.0007;None;None;None;413;42;85;5;5;450;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-7;100;None;None;19;67;14;0;0;Evans-Nb/Mn-1991-A450awch
0.07;0.33;0.64;0.007;0.004;None;None;None;0.0007;None;None;None;413;42;85;5;5;450;None;None;None;170;21;DC;+;1;200;MMA;580;2;484;576;23;74.9;-4;100;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-A450ht
0.074;0.33;0.64;0.008;0.006;None;None;None;0.0003;None;None;None;460;39;110;5;5;880;None;None;None;170;21;DC;+;1;200;MMA;250;14;549;614;24;70.8;None;None;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-A880aw
0.074;0.33;0.64;0.008;0.006;None;None;None;0.0003;None;None;None;460;39;110;5;5;880;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;13;100;None;None;24;61;15;0;0;Evans-Nb/Mn-1991-A880awch
0.074;0.33;0.64;0.008;0.006;None;None;None;0.0003;None;None;None;460;39;110;5;5;880;None;None;None;170;21;DC;+;1;200;MMA;580;2;544;621;22.6;71.9;18;100;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-A880ht
0.077;0.35;1.02;0.007;0.005;None;None;None;0.0004;None;None;None;399;41;75;5;5;5;None;None;None;170;21;DC;+;1;200;MMA;250;14;443;522;31.1;77;None;None;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-B<5aw
0.077;0.35;1.02;0.007;0.005;None;None;None;0.0004;None;None;None;399;41;75;5;5;5;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-60;100;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-B<5awch
0.077;0.35;1.02;0.007;0.005;None;None;None;0.0004;None;None;None;399;41;75;5;5;5;None;None;None;170;21;DC;+;1;200;MMA;580;2;332;461;33.3;80.3;-80;100;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-B<5ht
0.078;0.35;1.02;0.007;0.005;None;None;None;0.0004;None;None;None;368;36;83;5;5;120;None;None;None;170;21;DC;+;1;200;MMA;250;14;480;557;25.4;75;None;None;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-B120aw
0.078;0.35;1.02;0.007;0.005;None;None;None;0.0004;None;None;None;368;36;83;5;5;120;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-42;100;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-B120awch
0.078;0.35;1.02;0.007;0.005;None;None;None;0.0004;None;None;None;368;36;83;5;5;120;None;None;None;170;21;DC;+;1;200;MMA;580;2;447;540;30.4;77;-55;100;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-B120ht
0.074;0.34;1;0.007;0.006;None;None;None;0.0005;None;None;None;424;37;86;5;5;255;None;None;None;170;21;DC;+;1;200;MMA;250;14;513;594;28;76;None;None;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-B255aw
0.074;0.34;1;0.007;0.006;None;None;None;0.0005;None;None;None;424;37;86;5;5;255;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-38;100;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-B255awch
0.074;0.34;1;0.007;0.006;None;None;None;0.0005;None;None;None;424;37;86;5;5;255;None;None;None;170;21;DC;+;1;200;MMA;580;2;492;575;25.2;76;-41;100;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-B255ht
0.074;0.33;0.99;0.008;0.006;None;None;None;0.0004;None;None;None;393;37;88;5;5;465;None;None;None;170;21;DC;+;1;200;MMA;250;14;553;618;22.8;74;None;None;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-B465aw
0.074;0.33;0.99;0.008;0.006;None;None;None;0.0004;None;None;None;393;37;88;5;5;465;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-11;100;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-B465awch
0.074;0.33;0.99;0.008;0.006;None;None;None;0.0004;None;None;None;393;37;88;5;5;465;None;None;None;170;21;DC;+;1;200;MMA;580;2;540;616;22.4;75;-20;100;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-B465ht
0.075;0.34;1.02;0.007;0.006;None;None;None;0.0005;None;None;None;417;37;79;5;5;985;None;None;None;170;21;DC;+;1;200;MMA;250;14;615;655;20.2;72.9;None;None;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-B985aw
0.075;0.34;1.02;0.007;0.006;None;None;None;0.0005;None;None;None;417;37;79;5;5;985;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;14;100;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-B985awch
0.075;0.34;1.02;0.007;0.006;None;None;None;0.0005;None;None;None;417;37;79;5;5;985;None;None;None;170;21;DC;+;1;200;MMA;580;2;603;676;19.8;70.8;8;100;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-B985ht
0.077;0.31;1.33;0.007;0.005;None;None;None;0.0004;None;None;None;419;38;80;5;5;6;None;None;None;170;21;DC;+;1;200;MMA;250;14;463;541;27.1;75.9;None;None;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-C<6aw
0.077;0.31;1.33;0.007;0.005;None;None;None;0.0004;None;None;None;419;38;80;5;5;6;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-67;100;None;None;23;7;70;0;0;Evans-Nb/Mn-1991-C<6awch
0.077;0.31;1.33;0.007;0.005;None;None;None;0.0004;None;None;None;419;38;80;5;5;6;None;None;None;170;21;DC;+;1;200;MMA;580;2;372;497;31.4;76.4;-81;100;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-C<6ht
0.079;0.33;1.37;0.007;0.006;None;None;None;0.0004;None;None;None;417;34;97;5;5;105;None;None;None;170;21;DC;+;1;200;MMA;250;14;505;586;25.8;77.9;None;None;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-C105aw
0.079;0.33;1.37;0.007;0.006;None;None;None;0.0004;None;None;None;417;34;97;5;5;105;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-55;100;None;None;24;15;61;0;0;Evans-Nb/Mn-1991-C105awch
0.079;0.33;1.37;0.007;0.006;None;None;None;0.0004;None;None;None;417;34;97;5;5;105;None;None;None;170;21;DC;+;1;200;MMA;580;2;500;578;24.8;76;-61;100;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-C105ht
0.076;0.3;1.36;0.008;0.006;None;None;None;0.0004;None;None;None;370;33;84;5;5;235;None;None;None;170;21;DC;+;1;200;MMA;250;14;540;597;26.4;76;None;None;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-C235aw
0.076;0.3;1.36;0.008;0.006;None;None;None;0.0004;None;None;None;370;33;84;5;5;235;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-45;100;None;None;26;14;60;0;0;Evans-Nb/Mn-1991-C235awch
0.076;0.3;1.36;0.008;0.006;None;None;None;0.0004;None;None;None;370;33;84;5;5;235;None;None;None;170;21;DC;+;1;200;MMA;580;2;539;607;25;76;-41;100;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-C235ht
0.077;0.34;1.39;0.007;0.007;None;None;None;0.0004;None;None;None;409;32;99;5;5;455;None;None;None;170;21;DC;+;1;200;MMA;250;14;586;641;24.2;76;None;None;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-C455aw
0.077;0.34;1.39;0.007;0.007;None;None;None;0.0004;None;None;None;409;32;99;5;5;455;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-23;100;None;None;19;18;63;0;0;Evans-Nb/Mn-1991-C455awch
0.077;0.34;1.39;0.007;0.007;None;None;None;0.0004;None;None;None;409;32;99;5;5;455;None;None;None;170;21;DC;+;1;200;MMA;580;2;583;651;22.6;71.9;-27;100;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-C455ht
0.076;0.3;1.36;0.006;0.007;None;None;None;0.0005;None;None;None;432;33;91;5;5;940;None;None;None;170;21;DC;+;1;200;MMA;250;14;610;685;20.6;71.9;None;None;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-C940aw
0.076;0.3;1.36;0.006;0.007;None;None;None;0.0005;None;None;None;432;33;91;5;5;940;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-1;100;None;None;19;31;50;0;0;Evans-Nb/Mn-1991-C940awch
0.076;0.3;1.36;0.006;0.007;None;None;None;0.0005;None;None;None;432;33;91;5;5;940;None;None;None;170;21;DC;+;1;200;MMA;580;2;614;686;19;70.8;7;100;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-C940ht
0.076;0.29;1.74;0.008;0.006;None;None;None;0.0004;None;None;None;415;35;92;5;5;6;None;None;None;170;21;DC;+;1;200;MMA;250;14;500;571;28.8;77;None;None;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-D<5aw
0.076;0.29;1.74;0.008;0.006;None;None;None;0.0004;None;None;None;415;35;92;5;5;6;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-62;100;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-D<5awch
0.076;0.29;1.74;0.008;0.006;None;None;None;0.0004;None;None;None;415;35;92;5;5;6;None;None;None;170;21;DC;+;1;200;MMA;580;2;414;518;29.2;78.4;-71;100;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-D<5ht
0.077;0.32;1.77;0.007;0.006;None;None;None;0.0004;None;None;None;418;31;89;5;5;125;None;None;None;170;21;DC;+;1;200;MMA;250;14;540;614;22;75.9;None;None;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-D125aw
0.077;0.32;1.77;0.007;0.006;None;None;None;0.0004;None;None;None;418;31;89;5;5;125;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-54;100;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-D125awch
0.077;0.32;1.77;0.007;0.006;None;None;None;0.0004;None;None;None;418;31;89;5;5;125;None;None;None;170;21;DC;+;1;200;MMA;580;2;524;605;24.4;74;-61;100;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-D125ht
0.078;0.3;1.76;0.007;0.007;None;None;None;0.0004;None;None;None;433;32;110;5;5;230;None;None;None;170;21;DC;+;1;200;MMA;250;14;575;635;22.6;74;None;None;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-D230aw
0.078;0.3;1.76;0.007;0.007;None;None;None;0.0004;None;None;None;433;32;110;5;5;230;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-42;100;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-D230awch
0.078;0.3;1.76;0.007;0.007;None;None;None;0.0004;None;None;None;433;32;110;5;5;230;None;None;None;170;21;DC;+;1;200;MMA;580;2;553;627;22;76.8;-31;100;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-D230ht
0.077;0.29;1.77;0.008;0.009;None;None;None;0.0004;None;None;None;432;31;97;5;5;450;None;None;None;170;21;DC;+;1;200;MMA;250;14;606;660;22;74;None;None;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-D450aw
0.077;0.29;1.77;0.008;0.009;None;None;None;0.0004;None;None;None;432;31;97;5;5;450;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-26;100;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-D450awch
0.077;0.29;1.77;0.008;0.009;None;None;None;0.0004;None;None;None;432;31;97;5;5;450;None;None;None;170;21;DC;+;1;200;MMA;580;2;577;661;21.6;71.9;-15;100;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-D450ht
0.079;0.29;1.79;0.006;0.007;None;None;None;0.0004;None;None;None;406;33;105;5;5;895;None;None;None;170;21;DC;+;1;200;MMA;250;14;654;708;19.2;70.8;None;None;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-D895aw
0.079;0.29;1.79;0.006;0.007;None;None;None;0.0004;None;None;None;406;33;105;5;5;895;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-6;100;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-D895awch
0.079;0.29;1.79;0.006;0.007;None;None;None;0.0004;None;None;None;406;33;105;5;5;895;None;None;None;170;21;DC;+;1;200;MMA;580;2;638;716;17.2;68.6;4;100;None;None;None;None;None;None;None;Evans-Nb/Mn-1991-D895ht
0.062;0.22;1.17;0.007;0.006;None;None;None;None;None;None;None;330;None;120;None;None;None;None;None;None;180;34;AC;0;2;200;MMA;250;14;427;512;31.4;81.5;None;None;None;None;None;None;None;None;None;Evans-FelowH-1991-UF.05a
0.06;0.26;1.2;0.008;0.007;None;None;None;None;None;None;None;320;None;150;None;None;None;None;None;None;180;34;AC;0;2;200;MMA;250;14;440;523;33;81.5;None;None;None;None;None;None;None;None;None;Evans-FelowH-1991-UF.15a
0.06;0.25;1.19;0.008;0.007;None;None;None;None;None;None;None;353;None;110;None;None;None;None;None;None;180;34;AC;0;2;200;MMA;250;14;443;508;30.4;82.4;None;None;None;None;None;None;None;None;None;Evans-FelowH-1991-UF.25a
0.062;0.31;1.24;0.008;0.008;None;None;None;None;None;None;None;366;None;110;None;None;None;None;None;None;180;34;AC;0;2;200;MMA;250;14;468;531;29.6;81.5;None;None;None;None;None;None;None;None;None;Evans-FelowH-1991-UF.35a
0.055;0.33;1.39;0.007;0.007;None;None;None;None;None;None;None;323;None;70;None;None;None;None;None;None;180;34;DC;+;1;200;MMA;250;14;435;510;35.6;81.5;None;None;None;None;None;None;None;None;None;Evans-FelowH-1991-UF.05b
0.049;0.34;1.39;0.006;0.007;None;None;None;None;None;None;None;339;None;65;None;None;None;None;None;None;180;34;DC;+;1;200;MMA;250;14;430;505;31.2;82.3;None;None;None;None;None;None;None;None;None;Evans-FelowH-1991-UF.15b
0.048;0.31;1.34;0.008;0.008;None;None;None;None;None;None;None;371;None;75;None;None;None;None;None;None;180;34;DC;+;1;200;MMA;250;14;433;504;31;82.3;None;None;None;None;None;None;None;None;None;Evans-FelowH-1991-UF.25b
0.048;0.36;1.3;0.007;0.007;None;None;None;None;None;None;None;401;None;70;None;None;None;None;None;None;180;34;DC;+;1;200;MMA;250;14;465;526;30.4;80.6;None;None;None;None;None;None;None;None;None;Evans-FelowH-1991-UF.35b
0.059;0.29;1.49;0.008;0.017;None;None;None;None;None;None;None;305;None;110;None;None;None;None;None;None;180;34;DC;+;1;200;MMA;250;14;442;524;31.6;80.6;None;None;None;None;None;None;None;None;None;Evans-FelowH-1991-E7016(1)
0.051;0.31;1.64;0.005;0.016;None;None;None;None;None;None;None;330;None;60;None;None;None;None;None;None;180;34;DC;+;1;200;MMA;250;14;497;559;30;77.8;None;None;None;None;None;None;None;None;None;Evans-FelowH-1991-E7016(2)
0.069;0.53;1.17;0.008;0.014;None;None;None;None;None;None;None;365;None;120;None;None;None;None;None;None;180;34;DC;+;1;200;MMA;250;14;487;555;31.4;78.8;None;None;None;None;None;None;None;None;None;Evans-FelowH-1991-E7016(3)
0.068;0.36;1.56;0.006;0.01;None;None;None;None;None;None;None;396;None;90;None;None;None;None;None;None;180;34;DC;+;1;200;MMA;250;14;494;569;28.4;79.6;None;None;None;None;None;None;None;None;None;Evans-FelowH-1991-TENACITOR
0.043;0.3;0.69;0.006;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;373;448;34.4;83;None;None;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.045A
0.043;0.3;0.69;0.006;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-70;9;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.045Ach-70
0.043;0.3;0.69;0.006;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-60;15;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.045Ach-60
0.043;0.3;0.69;0.006;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-50;53;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.045Ach-50
0.043;0.3;0.69;0.006;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-40;117;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.045Ach-40
0.043;0.3;0.69;0.006;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-20;220;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.045Ach-20
0.043;0.3;0.69;0.006;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;20;222;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.045Ach20
0.042;0.31;0.98;0.006;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;392;476;34.4;80.6;None;None;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.045B
0.042;0.31;0.98;0.006;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-70;21;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.045Bch-70
0.042;0.31;0.98;0.006;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-60;38;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.045Bch-60
0.042;0.31;0.98;0.006;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-50;74;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.045Bch-50
0.042;0.31;0.98;0.006;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-40;182;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.045Bch-40
0.042;0.31;0.98;0.006;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-20;220;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.045Bch-20
0.042;0.31;0.98;0.006;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;20;222;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.045Bch20
0.045;0.31;1.39;0.005;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;414;502;31;80.6;None;None;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.045C
0.045;0.31;1.39;0.005;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-70;38;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.045Cch-70
0.045;0.31;1.39;0.005;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-60;81;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.045Cch-60
0.045;0.31;1.39;0.005;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-50;129;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.045Cch-50
0.045;0.31;1.39;0.005;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-40;172;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.045Cch-40
0.045;0.31;1.39;0.005;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-20;220;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.045Cch-20
0.045;0.31;1.39;0.005;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;20;222;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.045Cch20
0.045;0.29;1.83;0.005;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;444;525;29.8;79.9;None;None;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.045D
0.045;0.29;1.83;0.005;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-70;36;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.045Dch-70
